customer_state,gmv,orders,avg_score,avg_delay,delay_rate
SP,7403993.29,40501,4.1784213490447515,-10.609116944079584,0.05233809851877368
RJ,2688933.9,12350,3.8740873299928418,-11.395248532843103,0.12416036201654529
MG,2281229.16,11354,4.122095743021987,-12.749845153298235,0.05032517807370703
RS,1110976.47,5345,4.092886345053148,-13.560410891896298,0.06390609716335181
PR,1030822.39,4923,4.148470839260313,-12.898566117896973,0.044255620463798905
BA,773182.02,3256,3.862428062482872,-10.400488732011947,0.12897094759706762
SC,767093.97,3546,4.047009598818607,-10.997559189650964,0.09055406394923114
GO,493068.7,1957,4.04014272970562,-11.681598594642074,0.07158541941150637
DF,421374.86,2080,4.058169375534645,-11.592781316348196,0.06921443736730361
ES,398321.9,1995,4.015952597994531,-10.040898876404494,0.11775280898876404
PE,361028.07,1593,4.02025462962963,-12.882588774341352,0.09736540664375716
CE,333406.17,1279,3.876673713883016,-10.488078541374474,0.1479663394109397
PA,254824.98,946,3.8384912959381046,-13.650853889943074,0.12144212523719165
MT,251504.48,886,4.007797270955166,-13.971070395371264,0.06364513018322084
MA,195078.63,717,3.7581863979848866,-9.2925,0.19625
PB,177370.59,517,4.037931034482758,-12.464163822525597,0.10921501706484642
MS,162748.16,701,4.063040791100123,-10.581997533908755,0.10357583230579531
PI,133647.81,476,3.9594594594594597,-10.91395793499044,0.14722753346080306
RN,115084.6,474,4.113899613899614,-13.351247600767755,0.09788867562380038
AL,108425.06999999999,397,3.830188679245283,-8.189695550351288,0.23185011709601874
SE,85694.32,335,3.8981233243967828,-9.442666666666666,0.16266666666666665
TO,70934.12,274,4.155339805825243,-11.73225806451613,0.11935483870967742
RO,65200.66,243,4.073529411764706,-19.413919413919412,0.040293040293040296
AM,34503.04,145,4.111111111111111,-19.30674846625767,0.03680981595092025
AC,24890.49,80,4.131868131868132,-20.32967032967033,0.03296703296703297
AP,21521.71,67,4.2625,-17.864197530864196,0.037037037037037035
RR,11300.88,41,3.891304347826087,-17.67391304347826,0.10869565217391304
